Time_s;Displacement_mm;Force_N
0.00300000002607703;6.136504e-05;0.360353653123247
0.0130000002682209;0.0004500103;0.360242601020542
0.0230000000447035;0.0012375284;0.360602563162955
0.0329999998211861;0.0014113958;0.359675407536417
0.0430000014603138;0.0019841362;0.361266693647816
0.0529999993741512;0.0025977867;0.359043900940513
0.063000001013279;0.0029864318;0.361565276313307
0.0729999989271164;0.0036819025;0.360781559848599
0.0829999968409538;0.0039887275;0.361896702774641
0.0930000022053719;0.0045716953;0.361022846764696
0.103000000119209;0.0051751183;0.362489052839836
0.112999998033047;0.0055126264;0.362491147690184
0.123000003397465;0.006136504;0.363664989201129
0.133000001311302;0.0064637843;0.363374524753402
0.14300000667572;0.0070672072;0.364548242851057
0.152999997138977;0.0074660797;0.363380741579221
0.163000002503395;0.008110413;0.364847196730313
0.172999992966652;0.008539968;0.363972389559696
0.18299999833107;0.009041117;0.365106117988283
0.193000003695488;0.009532036;0.36469863812598
0.202999994158745;0.010104776;0.365441963052508
0.212999999523163;0.010585469;0.364159412035013
0.223000004887581;0.011004797;0.365231153831942
0.232999995350838;0.011577538;0.364804516324935
0.243000000715256;0.011976411;0.364711088226901
0.252999991178513;0.012549151;0.363991944503192
0.263000011444092;0.0129787065;0.365646283532014
0.273000001907349;0.013623038;0.364617879083098
0.282999992370605;0.014103732;0.364595911393915
0.293000012636185;0.01452306;0.364598114921965
0.303000003099442;0.014983297;0.365185522895117
0.312999993562698;0.0154946735;0.366065688895012
0.323000013828278;0.015914;0.366652870894435
0.333000004291534;0.01649697;0.365193471469391
0.342999994754791;0.017079936;0.366366501137247
0.352999985218048;0.017468583;0.36666103043928
0.363000005483627;0.018000413;0.366956320410562
0.372999995946884;0.018644745;0.366374709577487
0.382999986410141;0.019053847;0.366636232401272
0.39300000667572;0.019493628;0.366842050807351
0.402999997138977;0.020086823;0.367895090250495
0.412999987602234;0.020577744;0.367213347519404
0.423000007867813;0.020986844;0.368887661594409
0.43299999833107;0.021661859;0.368169621364154
0.442999988794327;0.021917546;0.368119223337986
0.453000009059906;0.022469833;0.367132892412631
0.462999999523163;0.023063028;0.367893437252617
0.47299998998642;0.023543721;0.366921216782463
0.483000010251999;0.024157371;0.368316399785255
0.493000000715256;0.024413059;0.367742012062431
0.503000020980835;0.025077848;0.368939553193639
0.513000011444092;0.025619904;0.368377042411808
0.523000001907349;0.025875593;0.368972629755429
0.532999992370605;0.026714249;0.367252444803502
0.542999982833862;0.026959708;0.369895051295113
0.552999973297119;0.027542677;0.369334229993741
0.563000023365021;0.028023368;0.370231637789787
0.573000013828278;0.028534744;0.36877795549749
0.583000004291534;0.029025663;0.36988310065539
0.592999994754791;0.029506357;0.36835716539459
0.602999985218048;0.029976822;0.37063498028174
0.612999975681305;0.030559791;0.368803044164964
0.623000025749207;0.031101847;0.370193922889242
0.633000016212463;0.031480268;0.36809650569879
0.64300000667572;0.03205301;0.370653301838466
0.652999997138977;0.032492787;0.369132766187182
0.662999987602234;0.03298371;0.371115385750603
0.672999978065491;0.033484858;0.370464214370181
0.683000028133392;0.03411896;0.371606972536753
0.693000018596649;0.034538288;0.370464400244113
0.703000009059906;0.03507012;0.37166911798566
0.712999999523163;0.035499677;0.369942227955971
0.72299998998642;0.036000825;0.372314904693497
0.732999980449677;0.03647129;0.370883181208264
0.742999970912933;0.036972437;0.372378381610894
0.753000020980835;0.037565634;0.371247174879904
0.763000011444092;0.038036097;0.373032859344533
0.773000001907349;0.038598612;0.371607141636006
0.782999992370605;0.03905885;0.372743885941209
0.792999982833862;0.03960091;0.371480294081246
0.802999973297119;0.039928187;0.372593746101993
0.813000023365021;0.04066457;0.371881581693672
0.823000013828278;0.041073665;0.372980892007307
0.833000004291534;0.041492995;0.371738504183999
0.842999994754791;0.042127103;0.372213971007835
0.852999985218048;0.042464606;0.372448169700849
0.862999975681305;0.043006666;0.372647038027435
0.873000025749207;0.04352827;0.371386983680492
0.883000016212463;0.044039644;0.372824680996342
0.89300000667572;0.04463284;0.372827555080936
0.902999997138977;0.04490898;0.371951418689544
0.912999987602234;0.04561468;0.372247326162423
0.922999978065491;0.04607492;0.373419524253732
0.933000028133392;0.046545383;0.372544321265303
0.943000018596649;0.047087442;0.373131934081536
0.953000009059906;0.04745563;0.373133715165571
0.962999999523163;0.048130646;0.372551989590864
0.97299998998642;0.048417017;0.373138364142432
0.982999980449677;0.049163625;0.374288233326126
0.992999970912933;0.049531814;0.373085925399611
1.00300002098083;0.0499716;0.374802232722817
1.01300001144409;0.050523885;0.373583743405236
1.02300000190735;0.051065944;0.37382860776249
1.03299999237061;0.05151595;0.373789069371893
1.04299998283386;0.052078463;0.375202105157897
1.05299997329712;0.0525387;0.37428418663086
1.06299996376038;0.052998938;0.374828737463677
1.07299995422363;0.05350009;0.373619365028148
1.08299994468689;0.05399101;0.374777962833879
1.09300005435944;0.0545842;0.373886740709932
1.10300004482269;0.055023987;0.375046521801191
1.11300003528595;0.0555865;0.374740998862808
1.12300002574921;0.055913776;0.376780855782076
1.13300001621246;0.05657857;0.375010501450678
1.14300000667572;0.056967214;0.375586485419041
1.15299999713898;0.057478588;0.374404660770089
1.16299998760223;0.058071785;0.375268387089878
1.17299997806549;0.05849111;0.374381194439343
1.18299996852875;0.059084304;0.376966570616277
1.192999958992;0.05954454;0.375685999991741
1.20299994945526;0.06009683;0.377308235679209
1.21300005912781;0.06042411;0.374889648127038
1.22300004959106;0.061140038;0.376765054912086
1.23300004005432;0.061549135;0.375496775036419
1.24300003051758;0.062019598;0.376846177791497
