Time_s;Displacement_mm;Force_N
0.0020000000949949;0;0.31091792248101
0.0120000001043081;0.00013295759;0.311200902052691
0.0219999998807907;0.0010227506;0.310844686854385
0.0320000015199184;0.0012886658;0.311995634997408
0.0419999994337559;0.0017284487;0.311086652155361
0.0520000010728836;0.0023114167;0.312054207645959
0.061999998986721;0.0027205169;0.312119062563802
0.0719999969005585;0.0032932572;0.313672308482267
0.0820000022649765;0.0037841774;0.314335112645754
0.0920000001788139;0.0041830502;0.315568324188378
0.101999998092651;0.004847838;0.314211248841724
0.112000003457069;0.0052569383;0.315738560196813
0.122000001370907;0.0057785413;0.316113724856066
0.131999999284744;0.006300144;0.31736638852946
0.142000004649162;0.006719472;0.317140359091279
0.151999995112419;0.00722062;0.317706586160922
0.162000000476837;0.007885408;0.317508004096282
0.172000005841255;0.008233143;0.318281599871921
0.181999996304512;0.008795655;0.318406067304829
0.19200000166893;0.009419533;0.319682162320904
0.202000007033348;0.009767269;0.319285785958015
0.211999997496605;0.010278644;0.320302996282554
0.222000002861023;0.01087184;0.319833313630437
0.23199999332428;0.011332078;0.320865788060514
0.241999998688698;0.011874135;0.319826379999918
0.252000004053116;0.012313918;0.32152206743072
0.261999994516373;0.01283552;0.321209983403387
0.272000014781952;0.013367351;0.322944933960536
0.282000005245209;0.013858272;0.321756511298449
0.291999995708466;0.014298054;0.32261747013533
0.301999986171722;0.014860567;0.323766284609318
0.312000006437302;0.015218531;0.325215287752887
0.321999996900558;0.015811725;0.325192986977479
0.331999987363815;0.016231053;0.325762211858735
0.342000007629395;0.016732201;0.324865889827482
0.351999998092651;0.017315168;0.326900769054004
0.361999988555908;0.017693587;0.326020228037645
0.372000008821487;0.018409513;0.327184376670611
0.381999999284744;0.018736793;0.325719259460653
0.391999989748001;0.01940158;0.328346290869736
0.40200001001358;0.019708406;0.327758808688329
0.412000000476837;0.020250462;0.327754405067585
0.421999990940094;0.020945933;0.327456273631214
0.432000011205673;0.021273214;0.329208563550247
0.44200000166893;0.0218255;0.328627703436135
0.451999992132187;0.022326648;0.329571502032804
0.462000012397766;0.022694837;0.32845025516686
0.472000002861023;0.023288032;0.330283722779313
0.48199999332428;0.023778953;0.330056175535243
0.492000013589859;0.024249418;0.332165860602927
0.501999974250793;0.024801705;0.331653971929537
0.512000024318695;0.025221031;0.333171908501468
0.522000014781952;0.025793772;0.332662724462377
0.532000005245209;0.026305147;0.33331535942478
0.541999995708466;0.026775612;0.332500130393664
0.551999986171722;0.027297216;0.332453917878014
0.561999976634979;0.027747225;0.331770051796725
0.572000026702881;0.028360875;0.334267632078852
0.582000017166138;0.02875975;0.332425012016392
0.592000007629395;0.029281352;0.332602879627464
0.601999998092651;0.029915456;0.332463521428125
0.611999988555908;0.030273419;0.333847310630567
0.621999979019165;0.030795023;0.33256268507918
0.632000029087067;0.031357534;0.333316538137763
0.642000019550323;0.031828;0.333802468093844
0.65200001001358;0.032380287;0.334675428263265
0.662000000476837;0.032748476;0.333794951144191
0.671999990940094;0.033331443;0.334082668907321
0.681999981403351;0.033873502;0.333493269794881
0.691999971866608;0.034343965;0.334659384865121
0.702000021934509;0.034773525;0.334655873554623
0.712000012397766;0.035336036;0.335821244513414
0.722000002861023;0.03572468;0.334063106356301
0.73199999332428;0.036307648;0.334935808127556
0.741999983787537;0.036675837;0.334640316021539
0.751999974250793;0.037279263;0.336631402936998
0.762000024318695;0.03781109;0.335675313546394
0.772000014781952;0.0381486;0.336210399314622
0.782000005245209;0.038977027;0.335210470970308
0.791999995708466;0.039263397;0.336338085657952
0.801999986171722;0.03988728;0.335953363363685
0.811999976634979;0.04023501;0.336194445809451
0.822000026702881;0.040756613;0.335824842513486
0.832000017166138;0.04134981;0.336614633687706
0.842000007629395;0.041820273;0.335375099113857
0.851999998092651;0.042321425;0.336808816072904
0.861999988555908;0.042761203;0.337151000733778
0.871999979019165;0.04327258;0.338086243573635
0.882000029087067;0.043743048;0.336969423920817
0.892000019550323;0.044274878;0.337906975619669
0.90200001001358;0.044786252;0.337964745451077
0.912000000476837;0.045256715;0.340357852777444
0.921999990940094;0.045716956;0.339532354604929
0.931999981403351;0.046279468;0.339010908640073
0.941999971866608;0.046698797;0.338765797331507
0.952000021934509;0.047251083;0.339901630500242
0.962000012397766;0.04778291;0.339483338326777
0.972000002861023;0.048222695;0.340256797691397
0.98199999332428;0.04886703;0.338934399784494
0.991999983787537;0.049245443;0.340599835250261
1.00199997425079;0.04976705;0.339013987010451
1.01199996471405;0.05041138;0.339446546854537
1.02199995517731;0.05074889;0.339366706252656
1.03199994564056;0.051260266;0.340415715554688
1.04200005531311;0.051873915;0.339100570047096
1.05200004577637;0.052354604;0.340538226627588
1.06200003623962;0.052886438;0.340304871244425
1.07200002670288;0.05328531;0.340934183677807
1.08200001716614;0.053847823;0.340704227080175
1.09200000762939;0.054369427;0.341639691738843
1.10199999809265;0.05483989;0.339937040449499
1.11199998855591;0.055279676;0.342033378281288
1.12199997901917;0.05582173;0.34180113358993
1.13199996948242;0.05627174;0.342436146418195
1.14199995994568;0.056752432;0.341319599066808
1.15199995040894;0.057202443;0.34247398059999
1.16199994087219;0.05776496;0.341771058744813
1.17200005054474;0.05829679;0.34341451942465
1.182000041008;0.058675207;0.342750192880776
1.19200003147125;0.059442267;0.343466854358637
1.20200002193451;0.05965705;0.34283685350893
1.21200001239777;0.060413882;0.343848126796178
1.22200000286102;0.060700253;0.342910615996124
1.23199999332428;0.061221853;0.343678726146769
1.24199998378754;0.06183551;0.343257584214878
